Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
 
✅ Chunk mesh updated with 332 vertices, 498 indices
✅ Chunk mesh updated with 228 vertices, 342 indices
✅ Chunk mesh updated with 524 vertices, 786 indices
✅ Chunk mesh updated with 524 vertices, 786 indices
✅ Chunk mesh updated with 520 vertices, 780 indices
✅ Chunk mesh updated with 552 vertices, 828 indices
✅ Chunk mesh updated with 472 vertices, 708 indices
✅ Chunk mesh updated with 360 vertices, 540 indices
✅ Chunk mesh updated with 580 vertices, 870 indices
✅ Chunk mesh updated with 584 vertices, 876 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 528 vertices, 792 indices
✅ Chunk mesh updated with 656 vertices, 984 indices
✅ Chunk mesh updated with 256 vertices, 384 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 588 vertices, 882 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 464 vertices, 696 indices
✅ Chunk mesh updated with 520 vertices, 780 indices
✅ Chunk mesh updated with 316 vertices, 474 indices
✅ Chunk mesh updated with 276 vertices, 414 indices
✅ Chunk mesh updated with 460 vertices, 690 indices
✅ Chunk mesh updated with 568 vertices, 852 indices
✅ Chunk mesh updated with 436 vertices, 654 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 384 vertices, 576 indices
✅ Chunk mesh updated with 440 vertices, 660 indices
✅ Chunk mesh updated with 488 vertices, 732 indices
✅ Chunk mesh updated with 404 vertices, 606 indices
✅ Chunk mesh updated with 268 vertices, 402 indices
✅ Chunk mesh updated with 300 vertices, 450 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 468 vertices, 702 indices
✅ Chunk mesh updated with 376 vertices, 564 indices
✅ Chunk mesh updated with 456 vertices, 684 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 416 vertices, 624 indices
✅ Chunk mesh updated with 304 vertices, 456 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 564 vertices, 846 indices
✅ Chunk mesh updated with 444 vertices, 666 indices
✅ Chunk mesh updated with 360 vertices, 540 indices
✅ Chunk mesh updated with 428 vertices, 642 indices
✅ Chunk mesh updated with 544 vertices, 816 indices
✅ Chunk mesh updated with 364 vertices, 546 indices
✅ Chunk mesh updated with 524 vertices, 786 indices
✅ Chunk mesh updated with 440 vertices, 660 indices
✅ Chunk mesh updated with 404 vertices, 606 indices
✅ Chunk mesh updated with 500 vertices, 750 indices
✅ Chunk mesh updated with 588 vertices, 882 indices
✅ Chunk mesh updated with 360 vertices, 540 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 508 vertices, 762 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 500 vertices, 750 indices
✅ Chunk mesh updated with 396 vertices, 594 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 336 vertices, 504 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 376 vertices, 564 indices
✅ Chunk mesh updated with 368 vertices, 552 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 596 vertices, 894 indices
✅ Chunk mesh updated with 564 vertices, 846 indices
✅ Chunk mesh updated with 244 vertices, 366 indices
✅ Chunk mesh updated with 344 vertices, 516 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 528 vertices, 792 indices
✅ Chunk mesh updated with 444 vertices, 666 indices
✅ Chunk mesh updated with 284 vertices, 426 indices
✅ Chunk mesh updated with 240 vertices, 360 indices
✅ Chunk mesh updated with 616 vertices, 924 indices
✅ Chunk mesh updated with 316 vertices, 474 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 636 vertices, 954 indices
✅ Chunk mesh updated with 328 vertices, 492 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 472 vertices, 708 indices
✅ Chunk mesh updated with 540 vertices, 810 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 392 vertices, 588 indices
✅ Chunk mesh updated with 568 vertices, 852 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 340 vertices, 510 indices
✅ Chunk mesh updated with 432 vertices, 648 indices
✅ Chunk mesh updated with 540 vertices, 810 indices
✅ Chunk mesh updated with 564 vertices, 846 indices
✅ Chunk mesh updated with 600 vertices, 900 indices
✅ Chunk mesh updated with 440 vertices, 660 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 504 vertices, 756 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 452 vertices, 678 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 472 vertices, 708 indices
✅ Chunk mesh updated with 404 vertices, 606 indices
✅ Chunk mesh updated with 424 vertices, 636 indices
✅ Chunk mesh updated with 472 vertices, 708 indices
✅ Chunk mesh updated with 256 vertices, 384 indices
✅ Chunk mesh updated with 560 vertices, 840 indices
✅ Chunk mesh updated with 552 vertices, 828 indices
✅ Chunk mesh updated with 272 vertices, 408 indices
✅ Chunk mesh updated with 536 vertices, 804 indices
✅ Chunk mesh updated with 372 vertices, 558 indices
✅ Chunk mesh updated with 712 vertices, 1068 indices
✅ Chunk mesh updated with 404 vertices, 606 indices
✅ Chunk mesh updated with 540 vertices, 810 indices
✅ Chunk mesh updated with 596 vertices, 894 indices
✅ Chunk mesh updated with 408 vertices, 612 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 540 vertices, 810 indices
✅ Chunk mesh updated with 460 vertices, 690 indices
✅ Chunk mesh updated with 588 vertices, 882 indices
✅ Chunk mesh updated with 440 vertices, 660 indices
✅ Chunk mesh updated with 620 vertices, 930 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 528 vertices, 792 indices
✅ Chunk mesh updated with 268 vertices, 402 indices
✅ Chunk mesh updated with 336 vertices, 504 indices
✅ Chunk mesh updated with 444 vertices, 666 indices
✅ Chunk mesh updated with 352 vertices, 528 indices
✅ Chunk mesh updated with 584 vertices, 876 indices
✅ Chunk mesh updated with 320 vertices, 480 indices
✅ Chunk mesh updated with 572 vertices, 858 indices
✅ Chunk mesh updated with 588 vertices, 882 indices
✅ Chunk mesh updated with 472 vertices, 708 indices
✅ Chunk mesh updated with 352 vertices, 528 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 520 vertices, 780 indices
✅ Chunk mesh updated with 560 vertices, 840 indices
✅ Chunk mesh updated with 444 vertices, 666 indices
✅ Chunk mesh updated with 568 vertices, 852 indices
✅ Chunk mesh updated with 408 vertices, 612 indices
✅ Chunk mesh updated with 456 vertices, 684 indices
✅ Chunk mesh updated with 352 vertices, 528 indices
✅ Chunk mesh updated with 464 vertices, 696 indices
✅ Chunk mesh updated with 276 vertices, 414 indices
✅ Chunk mesh updated with 228 vertices, 342 indices
✅ Chunk mesh updated with 580 vertices, 870 indices
✅ Chunk mesh updated with 540 vertices, 810 indices
✅ Chunk mesh updated with 424 vertices, 636 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 612 vertices, 918 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 664 vertices, 996 indices
✅ Chunk mesh updated with 364 vertices, 546 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 524 vertices, 786 indices
✅ Chunk mesh updated with 524 vertices, 786 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 440 vertices, 660 indices
✅ Chunk mesh updated with 432 vertices, 648 indices
✅ Chunk mesh updated with 756 vertices, 1134 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 268 vertices, 402 indices
✅ Chunk mesh updated with 208 vertices, 312 indices
✅ Chunk mesh updated with 388 vertices, 582 indices
✅ Chunk mesh updated with 416 vertices, 624 indices
✅ Chunk mesh updated with 436 vertices, 654 indices
✅ Chunk mesh updated with 428 vertices, 642 indices
✅ Chunk mesh updated with 408 vertices, 612 indices
✅ Chunk mesh updated with 508 vertices, 762 indices
✅ Chunk mesh updated with 560 vertices, 840 indices
✅ Chunk mesh updated with 548 vertices, 822 indices
✅ Chunk mesh updated with 508 vertices, 762 indices
✅ Chunk mesh updated with 532 vertices, 798 indices
✅ Chunk mesh updated with 660 vertices, 990 indices
✅ Chunk mesh updated with 312 vertices, 468 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 348 vertices, 522 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 584 vertices, 876 indices
✅ Chunk mesh updated with 448 vertices, 672 indices
✅ Chunk mesh updated with 500 vertices, 750 indices
✅ Chunk mesh updated with 476 vertices, 714 indices
✅ Chunk mesh updated with 352 vertices, 528 indices
✅ Chunk mesh updated with 308 vertices, 462 indices
✅ Chunk mesh updated with 448 vertices, 672 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 520 vertices, 780 indices
✅ Chunk mesh updated with 356 vertices, 534 indices
✅ Chunk mesh updated with 252 vertices, 378 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 496 vertices, 744 indices
✅ Chunk mesh updated with 352 vertices, 528 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 320 vertices, 480 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 456 vertices, 684 indices
✅ Chunk mesh updated with 220 vertices, 330 indices
✅ Chunk mesh updated with 432 vertices, 648 indices
✅ Chunk mesh updated with 460 vertices, 690 indices
✅ Chunk mesh updated with 552 vertices, 828 indices
✅ Chunk mesh updated with 388 vertices, 582 indices
✅ Chunk mesh updated with 384 vertices, 576 indices
✅ Chunk mesh updated with 548 vertices, 822 indices
✅ Chunk mesh updated with 604 vertices, 906 indices
✅ Chunk mesh updated with 612 vertices, 918 indices
✅ Chunk mesh updated with 328 vertices, 492 indices
✅ Chunk mesh updated with 444 vertices, 666 indices
✅ Chunk mesh updated with 588 vertices, 882 indices
✅ Chunk mesh updated with 548 vertices, 822 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 548 vertices, 822 indices
✅ Chunk mesh updated with 680 vertices, 1020 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 420 vertices, 630 indices
✅ Chunk mesh updated with 480 vertices, 720 indices
✅ Chunk mesh updated with 536 vertices, 804 indices
✅ Chunk mesh updated with 344 vertices, 516 indices
✅ Chunk mesh updated with 432 vertices, 648 indices
✅ Chunk mesh updated with 608 vertices, 912 indices
✅ Chunk mesh updated with 292 vertices, 438 indices
✅ Chunk mesh updated with 580 vertices, 870 indices
✅ Chunk mesh updated with 528 vertices, 792 indices
✅ Chunk mesh updated with 488 vertices, 732 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 452 vertices, 678 indices
✅ Chunk mesh updated with 280 vertices, 420 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 468 vertices, 702 indices
✅ Chunk mesh updated with 408 vertices, 612 indices
✅ Chunk mesh updated with 492 vertices, 738 indices
✅ Chunk mesh updated with 424 vertices, 636 indices
✅ Chunk mesh updated with 468 vertices, 702 indices
✅ Chunk mesh updated with 500 vertices, 750 indices
✅ Chunk mesh updated with 456 vertices, 684 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 336 vertices, 504 indices
✅ Chunk mesh updated with 508 vertices, 762 indices
✅ Chunk mesh updated with 580 vertices, 870 indices
✅ Chunk mesh updated with 512 vertices, 768 indices
✅ Chunk mesh updated with 364 vertices, 546 indices
✅ Chunk mesh updated with 400 vertices, 600 indices
✅ Chunk mesh updated with 564 vertices, 846 indices
✅ Chunk mesh updated with 344 vertices, 516 indices
✅ Chunk mesh updated with 376 vertices, 564 indices
