Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 92 vertices, 138 indices, and 1 collision shape
Project FPS: 124 (8.06 mspf)
Project FPS: 137 (7.29 mspf)
Project FPS: 136 (7.35 mspf)
Project FPS: 126 (7.93 mspf)
Project FPS: 174 (5.74 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 181 (5.52 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
Project FPS: 180 (5.55 mspf)
