Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 984 vertices, 1476 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 688 vertices, 1032 indices, and 1 collision shape
Chunk generated with 744 vertices, 1116 indices, and 1 collision shape
Chunk generated with 1076 vertices, 1614 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 492 vertices, 738 indices, and 1 collision shape
Chunk generated with 896 vertices, 1344 indices, and 1 collision shape
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 700 vertices, 1050 indices, and 1 collision shape
Chunk generated with 900 vertices, 1350 indices, and 1 collision shape
Chunk generated with 1028 vertices, 1542 indices, and 1 collision shape
Chunk generated with 808 vertices, 1212 indices, and 1 collision shape
Chunk generated with 796 vertices, 1194 indices, and 1 collision shape
Chunk generated with 860 vertices, 1290 indices, and 1 collision shape
Chunk generated with 1048 vertices, 1572 indices, and 1 collision shape
Chunk generated with 660 vertices, 990 indices, and 1 collision shape
Chunk generated with 604 vertices, 906 indices, and 1 collision shape
Chunk generated with 608 vertices, 912 indices, and 1 collision shape
Chunk generated with 928 vertices, 1392 indices, and 1 collision shape
Chunk generated with 1096 vertices, 1644 indices, and 1 collision shape
Chunk generated with 980 vertices, 1470 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 816 vertices, 1224 indices, and 1 collision shape
Chunk generated with 792 vertices, 1188 indices, and 1 collision shape
Chunk generated with 908 vertices, 1362 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 828 vertices, 1242 indices, and 1 collision shape
Chunk generated with 956 vertices, 1434 indices, and 1 collision shape
Chunk generated with 728 vertices, 1092 indices, and 1 collision shape
Chunk generated with 988 vertices, 1482 indices, and 1 collision shape
Chunk generated with 752 vertices, 1128 indices, and 1 collision shape
Chunk generated with 548 vertices, 822 indices, and 1 collision shape
Chunk generated with 636 vertices, 954 indices, and 1 collision shape
Chunk generated with 796 vertices, 1194 indices, and 1 collision shape
Chunk generated with 960 vertices, 1440 indices, and 1 collision shape
Chunk generated with 1192 vertices, 1788 indices, and 1 collision shape
Chunk generated with 716 vertices, 1074 indices, and 1 collision shape
Chunk generated with 800 vertices, 1200 indices, and 1 collision shape
Chunk generated with 1028 vertices, 1542 indices, and 1 collision shape
Chunk generated with 776 vertices, 1164 indices, and 1 collision shape
Chunk generated with 776 vertices, 1164 indices, and 1 collision shape
Chunk generated with 860 vertices, 1290 indices, and 1 collision shape
Chunk generated with 752 vertices, 1128 indices, and 1 collision shape
Chunk generated with 780 vertices, 1170 indices, and 1 collision shape
Chunk generated with 796 vertices, 1194 indices, and 1 collision shape
Chunk generated with 916 vertices, 1374 indices, and 1 collision shape
Chunk generated with 1028 vertices, 1542 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 752 vertices, 1128 indices, and 1 collision shape
Chunk generated with 996 vertices, 1494 indices, and 1 collision shape
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 712 vertices, 1068 indices, and 1 collision shape
Chunk generated with 628 vertices, 942 indices, and 1 collision shape
