Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 272 vertices, 408 indices
Chunk generated with 524 vertices, 786 indices
Chunk generated with 532 vertices, 798 indices
Chunk generated with 308 vertices, 462 indices
Chunk generated with 444 vertices, 666 indices
Chunk generated with 500 vertices, 750 indices
Chunk generated with 460 vertices, 690 indices
Chunk generated with 604 vertices, 906 indices
Chunk generated with 508 vertices, 762 indices
Chunk generated with 532 vertices, 798 indices
Chunk generated with 392 vertices, 588 indices
Chunk generated with 612 vertices, 918 indices
Chunk generated with 548 vertices, 822 indices
Chunk generated with 428 vertices, 642 indices
Chunk generated with 344 vertices, 516 indices
Chunk generated with 316 vertices, 474 indices
Chunk generated with 416 vertices, 624 indices
Chunk generated with 392 vertices, 588 indices
Chunk generated with 288 vertices, 432 indices
Chunk generated with 492 vertices, 738 indices
Chunk generated with 404 vertices, 606 indices
Chunk generated with 448 vertices, 672 indices
Chunk generated with 532 vertices, 798 indices
Chunk generated with 512 vertices, 768 indices
Chunk generated with 292 vertices, 438 indices
Chunk generated with 640 vertices, 960 indices
Chunk generated with 496 vertices, 744 indices
Chunk generated with 396 vertices, 594 indices
Chunk generated with 444 vertices, 666 indices
Chunk generated with 252 vertices, 378 indices
Chunk generated with 648 vertices, 972 indices
Chunk generated with 488 vertices, 732 indices
Chunk generated with 544 vertices, 816 indices
Chunk generated with 620 vertices, 930 indices
Chunk generated with 548 vertices, 822 indices
Chunk generated with 480 vertices, 720 indices
Chunk generated with 532 vertices, 798 indices
Chunk generated with 424 vertices, 636 indices
Chunk generated with 564 vertices, 846 indices
Chunk generated with 640 vertices, 960 indices
Chunk generated with 412 vertices, 618 indices
Chunk generated with 444 vertices, 666 indices
Chunk generated with 596 vertices, 894 indices
Chunk generated with 408 vertices, 612 indices
Chunk generated with 476 vertices, 714 indices
Chunk generated with 696 vertices, 1044 indices
Chunk generated with 524 vertices, 786 indices
Chunk generated with 528 vertices, 792 indices
Chunk generated with 192 vertices, 288 indices
Chunk generated with 328 vertices, 492 indices
Chunk generated with 512 vertices, 768 indices
Chunk generated with 560 vertices, 840 indices
Chunk generated with 516 vertices, 774 indices
Chunk generated with 516 vertices, 774 indices
Chunk generated with 568 vertices, 852 indices
Chunk generated with 552 vertices, 828 indices
Chunk generated with 456 vertices, 684 indices
Chunk generated with 664 vertices, 996 indices
Chunk generated with 580 vertices, 870 indices
Chunk generated with 540 vertices, 810 indices
Chunk generated with 616 vertices, 924 indices
Chunk generated with 508 vertices, 762 indices
Chunk generated with 500 vertices, 750 indices
Chunk generated with 504 vertices, 756 indices
Chunk generated with 564 vertices, 846 indices
Chunk generated with 532 vertices, 798 indices
Chunk generated with 360 vertices, 540 indices
Chunk generated with 536 vertices, 804 indices
Chunk generated with 340 vertices, 510 indices
Chunk generated with 548 vertices, 822 indices
Chunk generated with 472 vertices, 708 indices
